x_coordinate,y_coordinate,timestamp,swipe_id
864, 1492, 21629.993618, 50
860, 1478, 21630.037077, 50
855, 1460, 21630.042404, 50
850, 1438, 21630.047942, 50
843, 1416, 21630.053326, 50
837, 1391, 21630.058759, 50
831, 1369, 21630.064344, 50
826, 1351, 21630.069647, 50
820, 1329, 21630.075094, 50
815, 1311, 21630.080471, 50
812, 1298, 21630.085960, 50
808, 1281, 21630.091445, 50
806, 1269, 21630.096787, 50
805, 1257, 21630.102252, 50
804, 1248, 21630.107678, 50
805, 1221, 21630.124085, 50
807, 1213, 21630.129390, 50
809, 1205, 21630.134902, 50
811, 1199, 21630.140371, 50
813, 1194, 21630.145776, 50
816, 1189, 21630.151097, 50
819, 1184, 21630.156645, 50
822, 1179, 21630.162020, 50
825, 1174, 21630.167422, 50
826, 1171, 21630.172924, 50
828, 1167, 21630.178344, 50
830, 1164, 21630.183749, 50
832, 1161, 21630.189186, 50
833, 1158, 21630.194745, 50
834, 1155, 21630.200134, 50
836, 1151, 21630.205508, 50
838, 1146, 21630.210908, 50
842, 1139, 21630.216311, 50
844, 1131, 21630.221796, 50
847, 1123, 21630.227253, 50
850, 1113, 21630.232713, 50
852, 1105, 21630.238053, 50
854, 1097, 21630.243637, 50
855, 1090, 21630.248980, 50
857, 1080, 21630.254396, 50
861, 1068, 21630.259940, 50
864, 1060, 21630.265324, 50
866, 1051, 21630.270702, 50
870, 1041, 21630.276261, 50
872, 1033, 21630.281747, 50
876, 1024, 21630.287186, 50
880, 1015, 21630.292587, 50
884, 1006, 21630.297933, 50
889, 996, 21630.303340, 50
894, 985, 21630.309035, 50
899, 974, 21630.314367, 50
903, 963, 21630.319667, 50
907, 952, 21630.325128, 50
911, 942, 21630.330530, 50
913, 931, 21630.336215, 50
915, 923, 21630.341476, 50
917, 915, 21630.346847, 50
919, 909, 21630.352262, 50
920, 905, 21630.357830, 50
921, 900, 21630.363189, 50
922, 897, 21630.368780, 50
923, 895, 21630.374354, 50
924, 893, 21630.379688, 50
925, 889, 21630.390571, 50
926, 883, 21630.412272, 50
927, 879, 21630.417849, 50
929, 873, 21630.423077, 50
931, 867, 21630.428521, 50
934, 859, 21630.433995, 50
939, 850, 21630.439499, 50
945, 840, 21630.444911, 50
951, 827, 21630.450207, 50
958, 812, 21630.455567, 50
966, 795, 21630.461210, 50
975, 774, 21630.466495, 50
985, 754, 21630.472001, 50
994, 733, 21630.477346, 50
896, 866, 21630.890722, 51
882, 878, 21630.907072, 51
867, 896, 21630.912318, 51
858, 910, 21630.917738, 51
850, 926, 21630.923194, 51
844, 945, 21630.928665, 51
841, 959, 21630.934056, 51
837, 979, 21630.939608, 51
836, 1015, 21630.950438, 51
838, 1034, 21630.955869, 51
840, 1053, 21630.961220, 51
841, 1071, 21630.966618, 51
843, 1087, 21630.972137, 51
844, 1104, 21630.977518, 51
847, 1120, 21630.982976, 51
849, 1132, 21630.988383, 51
851, 1142, 21630.993965, 51
853, 1152, 21630.999286, 51
856, 1162, 21631.004701, 51
858, 1170, 21631.010156, 51
861, 1179, 21631.015596, 51
863, 1187, 21631.020987, 51
865, 1193, 21631.026465, 51
866, 1198, 21631.031864, 51
868, 1204, 21631.037325, 51
869, 1209, 21631.042841, 51
871, 1214, 21631.048280, 51
872, 1218, 21631.053648, 51
873, 1222, 21631.059159, 51
874, 1227, 21631.064531, 51
875, 1238, 21631.075576, 51
876, 1250, 21631.086280, 51
877, 1255, 21631.091835, 51
878, 1261, 21631.097142, 51
879, 1267, 21631.102608, 51
880, 1272, 21631.108094, 51
883, 1279, 21631.113516, 51
884, 1284, 21631.118853, 51
885, 1289, 21631.124422, 51
886, 1295, 21631.129917, 51
887, 1302, 21631.135348, 51
890, 1312, 21631.140754, 51
892, 1320, 21631.146095, 51
894, 1326, 21631.151474, 51
896, 1334, 21631.157031, 51
898, 1342, 21631.162361, 51
901, 1349, 21631.167787, 51
902, 1355, 21631.173331, 51
903, 1360, 21631.178727, 51
905, 1369, 21631.184186, 51
907, 1377, 21631.189687, 51
908, 1384, 21631.195008, 51
909, 1391, 21631.200431, 51
911, 1399, 21631.205904, 51
913, 1407, 21631.211341, 51
915, 1414, 21631.216706, 51
917, 1421, 21631.222216, 51
919, 1427, 21631.227614, 51
920, 1433, 21631.233074, 51
922, 1439, 21631.238458, 51
924, 1445, 21631.243963, 51
925, 1451, 21631.249366, 51
927, 1458, 21631.254813, 51
928, 1464, 21631.260301, 51
929, 1477, 21631.271148, 51
930, 1486, 21631.282004, 51
931, 1493, 21631.292917, 51
932, 1500, 21631.303705, 51
933, 1510, 21631.325754, 51
934, 1513, 21631.336562, 51
935, 1524, 21631.385602, 51
936, 1527, 21631.407160, 51
937, 1530, 21631.423503, 51
938, 1536, 21631.483255, 51
939, 1539, 21631.515840, 51
938, 1539, 21631.592091, 51
936, 1538, 21631.597424, 51
933, 1536, 21631.602843, 51
928, 1530, 21631.608527, 51
922, 1524, 21631.613935, 51
915, 1515, 21631.619194, 51
905, 1498, 21631.624796, 51
897, 1484, 21631.630216, 51
887, 1467, 21631.635501, 51
876, 1443, 21631.640979, 51
